Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 03.09.1985,20:00,MSV Duisburg,2:3,SpVgg Bayreuth
Di. 03.09.1985,20:00,Union Solingen,2:0,Arm. Bielefeld
Di. 03.09.1985,20:00,Alem. Aachen,0:1,Wattenscheid 09
Mi. 04.09.1985,18:00,SC Freiburg,2:0,Hessen Kassel
Mi. 04.09.1985,18:00,Aschaffenburg,3:1,TeBe Berlin
Mi. 04.09.1985,18:00,Stuttg. Kickers,2:0,FC 08 Homburg
Mi. 04.09.1985,20:00,Hertha BSC,1:1,Fortuna Köln
Mi. 04.09.1985,20:00,Darmstadt 98,1:1,Karlsruher SC
Mi. 04.09.1985,20:00,RW Oberhausen,1:1,E. Braunschweig
Mi. 04.09.1985,20:00,VfL Osnabrück,0:0,BW Berlin
