Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 14.03.1986,20:00,VfL Osnabrück,1:2,Wattenscheid 09
Sa. 15.03.1986,15:30,Hertha BSC,2:2,BW Berlin
Sa. 15.03.1986,15:30,SC Freiburg,1:1,SpVgg Bayreuth
Sa. 15.03.1986,15:30,Union Solingen,0:0,TeBe Berlin
Sa. 15.03.1986,15:30,MSV Duisburg,2:7,Darmstadt 98
Sa. 15.03.1986,15:30,Stuttg. Kickers,3:2,Hessen Kassel
Sa. 15.03.1986,15:30,E. Braunschweig,4:2,Arm. Bielefeld
So. 16.03.1986,15:00,RW Oberhausen,1:1,Fortuna Köln
So. 16.03.1986,15:00,Aschaffenburg,0:2,Karlsruher SC
Di. 08.04.1986,20:00,Alem. Aachen,2:2,FC 08 Homburg
