Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 07.03.1986,19:00,Karlsruher SC,2:1,VfL Osnabrück
Fr. 07.03.1986,19:30,Arm. Bielefeld,1:2,RW Oberhausen
Sa. 08.03.1986,15:30,Darmstadt 98,1:1,Alem. Aachen
Sa. 08.03.1986,15:30,Fortuna Köln,2:1,Stuttg. Kickers
Di. 11.03.1986,19:30,Wattenscheid 09,3:1,MSV Duisburg
Di. 18.03.1986,19:30,BW Berlin,4:1,SC Freiburg
Di. 08.04.1986,20:00,TeBe Berlin,0:4,Hertha BSC
Di. 15.04.1986,18:15,FC 08 Homburg,1:0,E. Braunschweig
Di. 29.04.1986,18:30,Hessen Kassel,2:0,Union Solingen
Mi. 30.04.1986,18:30,SpVgg Bayreuth,2:2,Aschaffenburg
