Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 23.11.1985,14:30,BW Berlin,1:1,Hessen Kassel
Sa. 23.11.1985,14:30,SpVgg Bayreuth,0:1,Fortuna Köln
Sa. 23.11.1985,15:30,Darmstadt 98,4:1,E. Braunschweig
Sa. 23.11.1985,15:30,Alem. Aachen,4:0,TeBe Berlin
So. 24.11.1985,14:30,VfL Osnabrück,2:2,Stuttg. Kickers
So. 24.11.1985,14:30,Aschaffenburg,3:0,Union Solingen
So. 24.11.1985,14:30,SC Freiburg,1:1,Hertha BSC
Mi. 04.12.1985,19:30,Wattenscheid 09,1:4,FC 08 Homburg
Mi. 04.12.1985,20:00,MSV Duisburg,1:1,RW Oberhausen
Mi. 18.12.1985,19:30,Karlsruher SC,2:0,Arm. Bielefeld
