Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.08.1995,20:00,Bor. Dortmund,1:1,1.FC K'lautern
Fr. 11.08.1995,20:00,Werder Bremen,1:1,F. Düsseldorf
Fr. 11.08.1995,20:00,VfB Stuttgart,0:0,KFC Uerdingen
Sa. 12.08.1995,15:30,1.FC Köln,0:1,FC Schalke 04
Sa. 12.08.1995,15:30,E. Frankfurt,2:2,Karlsruher SC
Sa. 12.08.1995,15:30,Bayern München,3:2,Hamburger SV
Sa. 12.08.1995,15:30,Hansa Rostock,1:2,B. Leverkusen
Sa. 12.08.1995,15:30,FC St. Pauli,4:2,1860 München
So. 13.08.1995,18:00,Bor. M'gladbach,1:0,SC Freiburg
