Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 26.04.1996,20:00,1.FC K'lautern,3:0,KFC Uerdingen
Fr. 26.04.1996,20:00,FC St. Pauli,2:0,FC Schalke 04
Sa. 27.04.1996,15:30,B. Leverkusen,1:2,Karlsruher SC
Sa. 27.04.1996,15:30,Bor. Dortmund,1:1,Hamburger SV
Sa. 27.04.1996,15:30,E. Frankfurt,1:0,Werder Bremen
Sa. 27.04.1996,15:30,Bayern München,0:1,Hansa Rostock
Sa. 27.04.1996,15:30,SC Freiburg,1:0,1860 München
Sa. 27.04.1996,15:30,VfB Stuttgart,0:1,1.FC Köln
So. 28.04.1996,18:00,Bor. M'gladbach,1:1,F. Düsseldorf
