Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 01.12.1995,20:00,B. Leverkusen,0:1,SC Freiburg
Fr. 01.12.1995,20:00,Bor. Dortmund,3:1,1860 München
Fr. 01.12.1995,20:00,Werder Bremen,0:1,1.FC Köln
Sa. 02.12.1995,15:30,Bor. M'gladbach,2:1,KFC Uerdingen
Sa. 02.12.1995,15:30,E. Frankfurt,3:0,F. Düsseldorf
Sa. 02.12.1995,15:30,Bayern München,4:0,FC Schalke 04
Sa. 02.12.1995,15:30,Hansa Rostock,3:0,1.FC K'lautern
Sa. 02.12.1995,15:30,FC St. Pauli,1:1,Karlsruher SC
Sa. 02.12.1995,15:30,VfB Stuttgart,3:0,Hamburger SV
