Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 16.04.1993,19:30,MSV Duisburg,5:0,FC Remscheid
Fr. 16.04.1993,19:30,Wuppertaler SV,2:0,Hansa Rostock
Fr. 16.04.1993,20:00,FC 08 Homburg,1:0,VfL Wolfsburg
Sa. 17.04.1993,15:30,Darmstadt 98,2:0,VfB Oldenburg
Sa. 17.04.1993,15:30,Fortuna Köln,2:0,Unterhaching
Sa. 17.04.1993,15:30,E. Braunschweig,1:0,VfL Osnabrück
Sa. 17.04.1993,15:30,W. Mannheim,1:0,Hannover 96
Sa. 17.04.1993,15:30,1.FSV Mainz 05,2:0,Carl Zeiss Jena
Sa. 17.04.1993,15:30,VfB Leipzig,0:0,F. Düsseldorf
So. 18.04.1993,15:00,Hertha BSC,1:1,Stuttg. Kickers
So. 18.04.1993,15:00,SV Meppen,2:0,Chemnitzer FC
So. 18.04.1993,15:00,FC St. Pauli,0:1,SC Freiburg
