Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 19.03.1993,19:30,E. Braunschweig,3:0,Fortuna Köln
Fr. 19.03.1993,20:00,FC St. Pauli,2:1,F. Düsseldorf
Sa. 20.03.1993,15:30,Hertha BSC,5:1,Hansa Rostock
Sa. 20.03.1993,15:30,Carl Zeiss Jena,0:0,Chemnitzer FC
Sa. 20.03.1993,15:30,W. Mannheim,2:1,VfL Wolfsburg
Sa. 20.03.1993,15:30,1.FSV Mainz 05,0:2,SC Freiburg
Sa. 20.03.1993,15:30,FC Remscheid,0:3,Hannover 96
Sa. 20.03.1993,15:30,FC 08 Homburg,3:1,VfL Osnabrück
Sa. 20.03.1993,15:30,Darmstadt 98,1:3,Unterhaching
So. 21.03.1993,15:00,MSV Duisburg,1:1,Stuttg. Kickers
So. 21.03.1993,15:00,SV Meppen,2:0,VfB Oldenburg
So. 21.03.1993,15:00,VfB Leipzig,3:0,Wuppertaler SV
