Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 30.04.1993,20:00,VfL Osnabrück,1:2,Fortuna Köln
Sa. 01.05.1993,15:30,FC Remscheid,1:1,FC St. Pauli
Sa. 01.05.1993,15:30,Hannover 96,1:1,Hansa Rostock
Sa. 01.05.1993,15:30,F. Düsseldorf,2:0,Unterhaching
Sa. 01.05.1993,15:30,SC Freiburg,3:1,E. Braunschweig
Sa. 01.05.1993,15:30,VfL Wolfsburg,3:0,Darmstadt 98
Sa. 01.05.1993,15:30,Chemnitzer FC,0:0,Hertha BSC
So. 02.05.1993,15:00,Stuttg. Kickers,2:0,VfB Leipzig
So. 02.05.1993,15:00,1.FSV Mainz 05,1:1,MSV Duisburg
So. 02.05.1993,15:00,VfB Oldenburg,0:0,Wuppertaler SV
So. 02.05.1993,15:00,Carl Zeiss Jena,2:1,FC 08 Homburg
So. 02.05.1993,15:00,W. Mannheim,0:3,SV Meppen
