Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 19.02.1993,20:00,FC 08 Homburg,2:0,Fortuna Köln
Fr. 19.02.1993,20:00,FC St. Pauli,2:0,Wuppertaler SV
Sa. 20.02.1993,15:00,FC Remscheid,0:0,Stuttg. Kickers
Sa. 20.02.1993,15:00,VfL Wolfsburg,3:1,Hannover 96
Sa. 20.02.1993,15:00,W. Mannheim,3:0,VfL Osnabrück
Sa. 20.02.1993,15:00,1.FSV Mainz 05,0:0,F. Düsseldorf
Sa. 20.02.1993,15:30,MSV Duisburg,2:1,Hansa Rostock
Sa. 20.02.1993,15:30,Hertha BSC,4:1,VfB Leipzig
Sa. 20.02.1993,15:30,Darmstadt 98,1:1,E. Braunschweig
Sa. 20.02.1993,15:30,Chemnitzer FC,2:2,SC Freiburg
Sa. 20.02.1993,15:30,Carl Zeiss Jena,6:2,VfB Oldenburg
So. 21.02.1993,15:00,SV Meppen,0:1,Unterhaching
