Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 17.07.1992,19:30,Unterhaching,0:1,1.FSV Mainz 05
Fr. 17.07.1992,20:00,Fortuna Köln,0:0,MSV Duisburg
Sa. 18.07.1992,15:30,Stuttg. Kickers,0:0,VfL Wolfsburg
Sa. 18.07.1992,15:30,VfB Oldenburg,1:0,Chemnitzer FC
Sa. 18.07.1992,15:30,F. Düsseldorf,2:2,Carl Zeiss Jena
Sa. 18.07.1992,15:30,Hansa Rostock,1:1,W. Mannheim
Sa. 18.07.1992,15:30,Wuppertaler SV,0:1,SV Meppen
Sa. 18.07.1992,15:30,VfB Leipzig,2:0,FC 08 Homburg
Sa. 18.07.1992,15:30,E. Braunschweig,0:2,FC St. Pauli
So. 19.07.1992,15:00,VfL Osnabrück,1:1,FC Remscheid
So. 19.07.1992,15:00,Darmstadt 98,3:0,Hertha BSC
So. 19.07.1992,15:00,SC Freiburg,4:0,Hannover 96
