Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.12.1992,19:00,Fortuna Köln,0:2,1.FSV Mainz 05
Fr. 11.12.1992,19:30,Darmstadt 98,1:1,FC St. Pauli
Fr. 11.12.1992,20:00,E. Braunschweig,2:0,FC 08 Homburg
Sa. 12.12.1992,15:30,Wuppertaler SV,1:1,MSV Duisburg
Sa. 12.12.1992,15:30,VfB Leipzig,1:0,SV Meppen
Sa. 12.12.1992,15:30,Hansa Rostock,0:1,Carl Zeiss Jena
Sa. 12.12.1992,15:30,F. Düsseldorf,1:1,FC Remscheid
Sa. 12.12.1992,15:30,Hertha BSC,3:0,Hannover 96
So. 13.12.1992,14:00,VfB Oldenburg,4:1,VfL Wolfsburg
So. 13.12.1992,14:00,Stuttg. Kickers,3:1,SC Freiburg
So. 13.12.1992,15:00,Unterhaching,2:2,W. Mannheim
So. 13.12.1992,15:00,VfL Osnabrück,3:3,Chemnitzer FC
