Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 23.10.1992,19:30,MSV Duisburg,3:0,FC 08 Homburg
Fr. 23.10.1992,19:30,Carl Zeiss Jena,0:0,Darmstadt 98
Fr. 23.10.1992,20:00,VfL Osnabrück,4:1,F. Düsseldorf
Sa. 24.10.1992,15:30,VfB Oldenburg,2:1,Hansa Rostock
Sa. 24.10.1992,15:30,W. Mannheim,2:2,Hertha BSC
Sa. 24.10.1992,15:30,FC Remscheid,3:4,E. Braunschweig
Sa. 24.10.1992,15:30,SC Freiburg,3:1,Fortuna Köln
Sa. 24.10.1992,15:30,Chemnitzer FC,2:2,VfB Leipzig
Sa. 24.10.1992,15:30,Hannover 96,2:2,SV Meppen
So. 25.10.1992,15:00,Stuttg. Kickers,3:1,Unterhaching
So. 25.10.1992,15:00,1.FSV Mainz 05,2:2,FC St. Pauli
So. 25.10.1992,15:00,VfL Wolfsburg,2:2,Wuppertaler SV
