Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 30.10.1992,20:00,VfL Osnabrück,1:3,Hannover 96
Fr. 30.10.1992,20:00,Fortuna Köln,5:1,VfL Wolfsburg
Fr. 30.10.1992,20:00,FC 08 Homburg,1:1,SV Meppen
Sa. 31.10.1992,15:30,F. Düsseldorf,3:0,VfB Oldenburg
Sa. 31.10.1992,15:30,Hansa Rostock,3:2,Stuttg. Kickers
Sa. 31.10.1992,15:30,Unterhaching,2:2,SC Freiburg
Sa. 31.10.1992,15:30,Wuppertaler SV,2:0,Chemnitzer FC
Sa. 31.10.1992,15:30,VfB Leipzig,2:1,FC Remscheid
Sa. 31.10.1992,15:30,Darmstadt 98,1:1,W. Mannheim
Sa. 31.10.1992,15:30,Hertha BSC,3:0,1.FSV Mainz 05
Sa. 31.10.1992,15:30,FC St. Pauli,0:1,MSV Duisburg
So. 01.11.1992,15:00,E. Braunschweig,3:3,Carl Zeiss Jena
