Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 02.04.1993,19:30,E. Braunschweig,1:1,Hansa Rostock
Fr. 02.04.1993,19:30,MSV Duisburg,3:0,VfL Wolfsburg
Fr. 02.04.1993,19:30,Carl Zeiss Jena,1:1,Hannover 96
Sa. 03.04.1993,15:30,Wuppertaler SV,1:2,Fortuna Köln
Sa. 03.04.1993,15:30,FC 08 Homburg,3:0,Stuttg. Kickers
Sa. 03.04.1993,15:30,FC St. Pauli,1:0,VfB Oldenburg
Sa. 03.04.1993,15:30,Hertha BSC,4:0,VfL Osnabrück
Sa. 03.04.1993,15:30,Darmstadt 98,0:1,F. Düsseldorf
So. 04.04.1993,15:00,1.FSV Mainz 05,1:2,Chemnitzer FC
So. 04.04.1993,15:00,VfB Leipzig,2:1,Unterhaching
So. 04.04.1993,15:00,W. Mannheim,2:0,FC Remscheid
So. 04.04.1993,15:00,SV Meppen,3:1,SC Freiburg
