Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 14.05.1993,19:00,Fortuna Köln,2:2,SC Freiburg
Fr. 14.05.1993,19:30,Unterhaching,2:0,Stuttg. Kickers
Fr. 14.05.1993,20:00,FC St. Pauli,0:2,1.FSV Mainz 05
Sa. 15.05.1993,15:30,F. Düsseldorf,3:1,VfL Osnabrück
Sa. 15.05.1993,15:30,Hansa Rostock,1:0,VfB Oldenburg
Sa. 15.05.1993,15:30,Hertha BSC,2:0,W. Mannheim
Sa. 15.05.1993,15:30,E. Braunschweig,4:2,FC Remscheid
Sa. 15.05.1993,15:30,Wuppertaler SV,4:1,VfL Wolfsburg
So. 16.05.1993,15:00,FC 08 Homburg,0:0,MSV Duisburg
So. 16.05.1993,15:00,VfB Leipzig,3:4,Chemnitzer FC
So. 16.05.1993,15:00,SV Meppen,4:1,Hannover 96
So. 16.05.1993,18:00,Darmstadt 98,3:2,Carl Zeiss Jena
