Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 10.07.1992,19:30,Unterhaching,1:2,Carl Zeiss Jena
Fr. 10.07.1992,20:00,VfL Osnabrück,3:5,VfL Wolfsburg
Fr. 10.07.1992,20:00,Fortuna Köln,0:1,W. Mannheim
Sa. 11.07.1992,15:30,VfB Oldenburg,2:2,SC Freiburg
Sa. 11.07.1992,15:30,F. Düsseldorf,1:1,Chemnitzer FC
Sa. 11.07.1992,15:30,Wuppertaler SV,3:1,1.FSV Mainz 05
Sa. 11.07.1992,15:30,VfB Leipzig,0:0,MSV Duisburg
Sa. 11.07.1992,15:30,E. Braunschweig,1:0,SV Meppen
Sa. 11.07.1992,15:30,Hertha BSC,2:2,FC St. Pauli
So. 12.07.1992,15:00,Stuttg. Kickers,0:2,Hannover 96
So. 12.07.1992,15:00,Hansa Rostock,1:0,FC Remscheid
So. 12.07.1992,15:00,Darmstadt 98,1:1,FC 08 Homburg
