Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.11.1992,19:30,MSV Duisburg,2:1,Hertha BSC
Fr. 13.11.1992,19:30,Carl Zeiss Jena,0:1,VfB Leipzig
Sa. 14.11.1992,14:00,SC Freiburg,2:1,Hansa Rostock
Sa. 14.11.1992,14:30,Stuttg. Kickers,2:0,F. Düsseldorf
Sa. 14.11.1992,14:30,SV Meppen,2:0,FC St. Pauli
Sa. 14.11.1992,14:30,1.FSV Mainz 05,0:1,Darmstadt 98
Sa. 14.11.1992,14:30,W. Mannheim,3:1,E. Braunschweig
Sa. 14.11.1992,14:30,FC Remscheid,1:1,Wuppertaler SV
Sa. 14.11.1992,14:30,VfL Wolfsburg,4:1,Unterhaching
So. 15.11.1992,14:30,VfB Oldenburg,2:3,VfL Osnabrück
So. 15.11.1992,15:00,Hannover 96,1:1,FC 08 Homburg
So. 15.11.1992,15:00,Chemnitzer FC,1:0,Fortuna Köln
