Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 31.07.1992,19:30,Darmstadt 98,2:3,VfB Leipzig
Fr. 31.07.1992,19:30,MSV Duisburg,3:1,F. Düsseldorf
Fr. 31.07.1992,20:00,FC St. Pauli,1:0,Fortuna Köln
Fr. 31.07.1992,20:00,Carl Zeiss Jena,2:1,Stuttg. Kickers
Sa. 01.08.1992,15:30,E. Braunschweig,3:2,Hannover 96
Sa. 01.08.1992,15:30,FC 08 Homburg,2:1,Unterhaching
Sa. 01.08.1992,15:30,1.FSV Mainz 05,2:3,VfL Osnabrück
Sa. 01.08.1992,15:30,Chemnitzer FC,1:0,VfL Wolfsburg
So. 02.08.1992,15:00,SV Meppen,1:1,Hansa Rostock
So. 02.08.1992,15:00,W. Mannheim,3:0,VfB Oldenburg
So. 02.08.1992,15:00,FC Remscheid,1:5,SC Freiburg
So. 02.08.1992,18:00,Hertha BSC,1:0,Wuppertaler SV
