Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 11.08.1992,19:30,MSV Duisburg,1:1,VfB Oldenburg
Mi. 12.08.1992,18:30,SV Meppen,1:0,VfL Osnabrück
Mi. 12.08.1992,18:30,1.FSV Mainz 05,2:1,Stuttg. Kickers
Mi. 12.08.1992,18:30,W. Mannheim,1:2,SC Freiburg
Mi. 12.08.1992,18:30,FC Remscheid,1:0,Chemnitzer FC
Mi. 12.08.1992,19:30,Darmstadt 98,1:4,Fortuna Köln
Mi. 12.08.1992,20:00,E. Braunschweig,3:2,Wuppertaler SV
Mi. 12.08.1992,20:00,FC St. Pauli,0:2,Hansa Rostock
Mi. 12.08.1992,20:00,FC 08 Homburg,5:0,F. Düsseldorf
Mi. 12.08.1992,20:00,Carl Zeiss Jena,1:2,VfL Wolfsburg
Di. 08.09.1992,20:00,VfB Leipzig,3:0,Hannover 96
Do. 10.09.1992,20:00,Hertha BSC,4:1,Unterhaching
