Datum,Uhrzeit,Heim,Ergebnis,Gast
So. 06.06.1993,15:00,E. Braunschweig,1:2,MSV Duisburg
So. 06.06.1993,15:00,Fortuna Köln,1:2,Carl Zeiss Jena
So. 06.06.1993,15:00,Wuppertaler SV,4:3,W. Mannheim
So. 06.06.1993,15:00,Unterhaching,3:0,FC Remscheid
So. 06.06.1993,15:00,F. Düsseldorf,1:2,VfL Wolfsburg
So. 06.06.1993,15:00,VfL Osnabrück,3:2,SC Freiburg
So. 06.06.1993,15:00,VfB Oldenburg,3:2,Stuttg. Kickers
So. 06.06.1993,15:00,Hansa Rostock,2:0,Chemnitzer FC
So. 06.06.1993,15:00,FC St. Pauli,1:0,Hannover 96
So. 06.06.1993,15:00,Darmstadt 98,0:2,SV Meppen
So. 06.06.1993,15:00,VfB Leipzig,2:0,1.FSV Mainz 05
So. 06.06.1993,15:00,Hertha BSC,1:0,FC 08 Homburg
