Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 18.05.1993,18:30,VfL Wolfsburg,2:0,Hansa Rostock
So. 30.05.1993,15:00,Chemnitzer FC,4:2,Unterhaching
So. 30.05.1993,15:00,SC Freiburg,5:1,F. Düsseldorf
So. 30.05.1993,15:00,FC Remscheid,2:0,Fortuna Köln
So. 30.05.1993,15:00,1.FSV Mainz 05,0:2,E. Braunschweig
So. 30.05.1993,15:00,MSV Duisburg,1:0,Darmstadt 98
So. 30.05.1993,15:00,SV Meppen,0:0,Hertha BSC
So. 30.05.1993,15:00,FC 08 Homburg,0:0,FC St. Pauli
So. 30.05.1993,15:00,Hannover 96,2:0,VfB Oldenburg
So. 30.05.1993,15:00,Stuttg. Kickers,2:3,VfL Osnabrück
So. 30.05.1993,15:00,W. Mannheim,0:0,VfB Leipzig
So. 30.05.1993,15:00,Carl Zeiss Jena,3:1,Wuppertaler SV
