Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 25.05.1968,15:30,1.FC Nürnberg,2:1,Bor. Dortmund
Sa. 25.05.1968,15:30,Werder Bremen,2:1,B. Neunkirchen
Sa. 25.05.1968,15:30,1860 München,0:0,Bor. M'gladbach
Sa. 25.05.1968,15:30,E. Braunschweig,1:2,1.FC Köln
Sa. 25.05.1968,15:30,MSV Duisburg,3:3,Bayern München
Sa. 25.05.1968,15:30,FC Schalke 04,0:0,E. Frankfurt
Sa. 25.05.1968,15:30,Alem. Aachen,2:2,Hannover 96
Sa. 25.05.1968,15:30,1.FC K'lautern,1:1,Karlsruher SC
Di. 28.05.1968,15:30,VfB Stuttgart,4:1,Hamburger SV
