Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 26.08.1967,16:00,B. Neunkirchen,2:2,1.FC Nürnberg
Sa. 26.08.1967,16:00,E. Frankfurt,5:3,Werder Bremen
Sa. 26.08.1967,16:00,Bor. M'gladbach,1:1,VfB Stuttgart
Sa. 26.08.1967,16:00,1.FC Köln,1:0,1860 München
Sa. 26.08.1967,16:00,Bayern München,1:0,Hannover 96
Sa. 26.08.1967,16:00,Karlsruher SC,0:2,MSV Duisburg
Sa. 26.08.1967,16:00,E. Braunschweig,1:0,FC Schalke 04
Sa. 26.08.1967,16:00,Bor. Dortmund,1:0,Alem. Aachen
Sa. 26.08.1967,16:00,Hamburger SV,1:1,1.FC K'lautern
