Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 13.09.1967,20:00,1.FC Nürnberg,1:0,Bor. M'gladbach
Mi. 13.09.1967,20:00,Werder Bremen,2:2,1860 München
Mi. 13.09.1967,20:00,Bor. Dortmund,2:0,1.FC Köln
Mi. 13.09.1967,20:00,Bayern München,3:0,Karlsruher SC
Mi. 13.09.1967,20:00,MSV Duisburg,0:1,E. Frankfurt
Mi. 13.09.1967,20:00,VfB Stuttgart,2:0,FC Schalke 04
Mi. 13.09.1967,20:00,1.FC K'lautern,2:2,E. Braunschweig
Mi. 13.09.1967,20:00,Hannover 96,2:0,B. Neunkirchen
Mi. 13.09.1967,20:00,Alem. Aachen,2:0,Hamburger SV
