Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 03.02.1968,15:30,1.FC Nürnberg,0:2,E. Frankfurt
Sa. 03.02.1968,15:30,Werder Bremen,3:2,E. Braunschweig
Sa. 03.02.1968,15:30,1.FC K'lautern,0:1,Bor. M'gladbach
Sa. 03.02.1968,15:30,FC Schalke 04,1:1,1.FC Köln
Sa. 03.02.1968,15:30,MSV Duisburg,1:2,Hamburger SV
Sa. 03.02.1968,15:30,VfB Stuttgart,2:1,1860 München
Sa. 03.02.1968,15:30,Hannover 96,2:0,Karlsruher SC
Sa. 03.02.1968,15:30,Alem. Aachen,5:1,B. Neunkirchen
Di. 02.04.1968,20:00,Bayern München,2:0,Bor. Dortmund
