Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 22.02.1969,15:30,VfB Stuttgart,3:2,MSV Duisburg
Sa. 22.02.1969,15:30,1.FC Nürnberg,3:0,1860 München
Sa. 22.02.1969,15:30,Bayern München,2:0,E. Frankfurt
Di. 11.03.1969,20:00,Bor. Dortmund,0:1,FC Schalke 04
Mi. 12.03.1969,20:00,Bor. M'gladbach,3:2,Hannover 96
Mi. 12.03.1969,20:00,K. Offenbach,4:1,1.FC K'lautern
Di. 08.04.1969,20:00,E. Braunschweig,2:0,Alem. Aachen
Di. 08.04.1969,20:00,Werder Bremen,2:0,Hertha BSC
Mi. 30.04.1969,20:00,1.FC Köln,4:1,Hamburger SV
