Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 15.03.1991,19:00,Pr. Münster,1:1,E. Braunschweig
Sa. 16.03.1991,15:00,Hannover 96,1:1,Saarbrücken
Sa. 16.03.1991,15:00,SC Freiburg,1:2,Darmstadt 98
Sa. 16.03.1991,15:00,FC Schalke 04,2:0,Schweinfurt 05
Sa. 16.03.1991,15:00,FC 08 Homburg,2:3,VfL Osnabrück
Sa. 16.03.1991,15:00,Stuttg. Kickers,3:0,TSV Havelse
Sa. 16.03.1991,15:00,W. Mannheim,4:0,MSV Duisburg
Sa. 16.03.1991,15:00,VfB Oldenburg,3:5,BW Berlin
So. 17.03.1991,15:00,1.FSV Mainz 05,1:0,RW Essen
So. 17.03.1991,15:00,SV Meppen,1:1,Fortuna Köln
