Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 03.05.1991,19:00,BW Berlin,1:1,Saarbrücken
Fr. 03.05.1991,19:00,VfL Osnabrück,1:1,RW Essen
Fr. 03.05.1991,19:00,MSV Duisburg,1:0,SC Freiburg
Sa. 04.05.1991,15:00,W. Mannheim,1:1,Hannover 96
Sa. 04.05.1991,15:00,E. Braunschweig,1:0,Darmstadt 98
Sa. 04.05.1991,15:00,Schweinfurt 05,0:0,1.FSV Mainz 05
Sa. 04.05.1991,15:00,FC 08 Homburg,0:0,SV Meppen
Sa. 04.05.1991,15:00,TSV Havelse,0:2,Fortuna Köln
So. 05.05.1991,15:00,Stuttg. Kickers,0:2,Pr. Münster
So. 05.05.1991,15:00,FC Schalke 04,4:1,VfB Oldenburg
