Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 05.04.1991,19:00,VfL Osnabrück,1:1,Hannover 96
Sa. 06.04.1991,15:00,MSV Duisburg,4:0,FC 08 Homburg
Sa. 06.04.1991,15:00,E. Braunschweig,2:2,SC Freiburg
Sa. 06.04.1991,15:00,BW Berlin,2:1,1.FSV Mainz 05
Sa. 06.04.1991,15:00,Saarbrücken,1:1,Fortuna Köln
Sa. 06.04.1991,15:00,Darmstadt 98,3:2,RW Essen
Sa. 06.04.1991,15:00,Schweinfurt 05,0:0,Pr. Münster
So. 07.04.1991,15:00,TSV Havelse,3:2,VfB Oldenburg
So. 07.04.1991,15:00,FC Schalke 04,2:0,SV Meppen
So. 07.04.1991,15:00,W. Mannheim,2:0,Stuttg. Kickers
