Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 31.05.1991,19:00,FC 08 Homburg,1:0,SC Freiburg
Fr. 31.05.1991,19:00,MSV Duisburg,2:0,Darmstadt 98
Fr. 31.05.1991,19:00,Schweinfurt 05,2:1,Saarbrücken
Sa. 01.06.1991,15:00,Stuttg. Kickers,1:1,1.FSV Mainz 05
So. 02.06.1991,15:00,Pr. Münster,0:1,Hannover 96
So. 02.06.1991,15:00,W. Mannheim,1:3,RW Essen
So. 02.06.1991,15:00,VfL Osnabrück,2:0,E. Braunschweig
So. 02.06.1991,15:00,TSV Havelse,1:2,BW Berlin
So. 02.06.1991,15:00,SV Meppen,0:0,VfB Oldenburg
So. 02.06.1991,15:00,FC Schalke 04,2:1,Fortuna Köln
