Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 12.10.1990,19:00,E. Braunschweig,0:1,Saarbrücken
Fr. 12.10.1990,19:00,VfL Osnabrück,1:4,Darmstadt 98
Fr. 12.10.1990,19:00,MSV Duisburg,2:0,1.FSV Mainz 05
Sa. 13.10.1990,15:00,BW Berlin,2:0,SV Meppen
Sa. 13.10.1990,15:00,Stuttg. Kickers,1:1,VfB Oldenburg
Sa. 13.10.1990,15:00,Schweinfurt 05,1:1,Fortuna Köln
Sa. 13.10.1990,15:00,W. Mannheim,3:1,SC Freiburg
So. 14.10.1990,15:00,FC Schalke 04,2:0,Hannover 96
So. 14.10.1990,15:00,FC 08 Homburg,2:1,Pr. Münster
So. 14.10.1990,15:00,TSV Havelse,1:4,RW Essen
