Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 08.03.1991,19:00,Fortuna Köln,3:1,1.FSV Mainz 05
Sa. 09.03.1991,15:00,BW Berlin,1:1,Pr. Münster
Sa. 09.03.1991,15:00,Schweinfurt 05,3:1,W. Mannheim
Sa. 09.03.1991,15:00,MSV Duisburg,4:0,SV Meppen
Sa. 09.03.1991,15:00,RW Essen,3:0,SC Freiburg
Sa. 09.03.1991,15:00,TSV Havelse,1:2,FC Schalke 04
Sa. 09.03.1991,15:00,Darmstadt 98,1:0,Hannover 96
So. 10.03.1991,15:00,VfL Osnabrück,2:3,Stuttg. Kickers
So. 10.03.1991,15:00,Saarbrücken,4:1,VfB Oldenburg
So. 10.03.1991,15:00,E. Braunschweig,1:0,FC 08 Homburg
