Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 04.09.1990,19:30,Schweinfurt 05,0:1,FC 08 Homburg
Di. 04.09.1990,19:30,RW Essen,3:2,SV Meppen
Di. 04.09.1990,19:30,MSV Duisburg,2:0,Stuttg. Kickers
Mi. 05.09.1990,19:30,W. Mannheim,1:3,FC Schalke 04
Mi. 05.09.1990,19:30,Darmstadt 98,1:2,Fortuna Köln
Mi. 05.09.1990,19:30,VfL Osnabrück,3:3,VfB Oldenburg
Mi. 05.09.1990,19:30,E. Braunschweig,0:1,Hannover 96
Mi. 05.09.1990,19:30,TSV Havelse,4:1,Pr. Münster
Mi. 05.09.1990,19:30,BW Berlin,2:1,SC Freiburg
Mi. 05.09.1990,19:30,Saarbrücken,0:0,1.FSV Mainz 05
