Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.07.1990,19:00,Hannover 96,0:2,SC Freiburg
Fr. 27.07.1990,19:00,FC Schalke 04,3:1,Saarbrücken
Fr. 27.07.1990,19:00,MSV Duisburg,3:3,E. Braunschweig
Sa. 28.07.1990,15:00,VfB Oldenburg,1:2,1.FSV Mainz 05
Sa. 28.07.1990,15:00,FC 08 Homburg,2:1,RW Essen
Sa. 28.07.1990,15:00,W. Mannheim,2:0,BW Berlin
Sa. 28.07.1990,15:00,Schweinfurt 05,0:3,VfL Osnabrück
So. 29.07.1990,15:00,Stuttg. Kickers,3:0,Darmstadt 98
So. 29.07.1990,15:00,Pr. Münster,2:0,Fortuna Köln
So. 29.07.1990,15:00,SV Meppen,2:0,TSV Havelse
