Datum,Uhrzeit,Heim,Ergebnis,Gast
So. 16.06.1991,15:00,Schweinfurt 05,0:0,E. Braunschweig
So. 16.06.1991,15:00,Stuttg. Kickers,3:0,RW Essen
So. 16.06.1991,15:00,FC 08 Homburg,3:2,Fortuna Köln
So. 16.06.1991,15:00,VfB Oldenburg,2:2,SC Freiburg
So. 16.06.1991,15:00,Pr. Münster,2:3,1.FSV Mainz 05
So. 16.06.1991,15:00,MSV Duisburg,1:0,BW Berlin
So. 16.06.1991,15:00,TSV Havelse,1:5,VfL Osnabrück
So. 16.06.1991,15:00,SV Meppen,1:1,Hannover 96
So. 16.06.1991,15:00,FC Schalke 04,1:0,Darmstadt 98
So. 16.06.1991,15:00,W. Mannheim,1:3,Saarbrücken
