Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 07.08.1990,19:30,SC Freiburg,2:1,SV Meppen
Di. 07.08.1990,19:30,Darmstadt 98,0:0,FC 08 Homburg
Di. 07.08.1990,19:30,Saarbrücken,0:0,Stuttg. Kickers
Di. 07.08.1990,19:30,VfL Osnabrück,0:2,MSV Duisburg
Mi. 08.08.1990,19:30,1.FSV Mainz 05,2:1,Hannover 96
Mi. 08.08.1990,19:30,Fortuna Köln,1:1,VfB Oldenburg
Mi. 08.08.1990,19:30,TSV Havelse,4:1,Schweinfurt 05
Mi. 08.08.1990,19:30,E. Braunschweig,1:1,W. Mannheim
Mi. 08.08.1990,19:30,RW Essen,1:0,Pr. Münster
Mi. 08.08.1990,19:30,BW Berlin,1:1,FC Schalke 04
