Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 05.10.1990,19:00,Pr. Münster,0:0,Stuttg. Kickers
Fr. 05.10.1990,19:00,Saarbrücken,0:0,BW Berlin
Fr. 05.10.1990,19:00,Hannover 96,0:5,W. Mannheim
Sa. 06.10.1990,15:00,VfB Oldenburg,0:0,FC Schalke 04
Sa. 06.10.1990,15:00,Darmstadt 98,2:1,E. Braunschweig
Sa. 06.10.1990,15:00,RW Essen,0:0,VfL Osnabrück
Sa. 06.10.1990,15:00,1.FSV Mainz 05,2:0,Schweinfurt 05
So. 07.10.1990,15:00,SC Freiburg,0:2,MSV Duisburg
So. 07.10.1990,15:00,SV Meppen,3:0,FC 08 Homburg
So. 07.10.1990,15:00,Fortuna Köln,3:1,TSV Havelse
