Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 26.08.1988,19:30,Alem. Aachen,0:1,E. Braunschweig
Fr. 26.08.1988,19:30,FC Schalke 04,0:0,Aschaffenburg
Sa. 27.08.1988,15:00,SC Freiburg,2:0,Saarbrücken
Sa. 27.08.1988,15:00,SpVgg Bayreuth,1:1,Union Solingen
So. 28.08.1988,15:00,Wattenscheid 09,1:3,Fortuna Köln
So. 28.08.1988,15:00,F. Düsseldorf,2:0,RW Essen
So. 28.08.1988,15:00,SV Meppen,1:3,VfL Osnabrück
Di. 30.08.1988,19:30,BW Berlin,2:1,Darmstadt 98
Di. 30.08.1988,19:30,K. Offenbach,4:1,Hertha BSC
Sa. 15.10.1988,15:00,FC 08 Homburg,2:0,1.FSV Mainz 05
