Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.11.1988,19:30,K. Offenbach,3:0,F. Düsseldorf
Fr. 11.11.1988,19:30,Saarbrücken,2:1,FC 08 Homburg
Sa. 12.11.1988,15:00,Hertha BSC,2:1,VfL Osnabrück
Sa. 12.11.1988,15:00,SC Freiburg,2:1,FC Schalke 04
Sa. 12.11.1988,15:00,1.FSV Mainz 05,1:1,RW Essen
Sa. 12.11.1988,15:00,Union Solingen,2:2,Aschaffenburg
Sa. 12.11.1988,15:00,Fortuna Köln,3:0,Darmstadt 98
So. 13.11.1988,15:00,SV Meppen,2:2,BW Berlin
So. 13.11.1988,15:00,SpVgg Bayreuth,2:1,E. Braunschweig
Do. 08.12.1988,19:30,Wattenscheid 09,3:1,Alem. Aachen
