Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 14.04.1989,19:30,VfL Osnabrück,2:2,Alem. Aachen
Fr. 14.04.1989,19:30,Wattenscheid 09,2:2,FC 08 Homburg
Sa. 15.04.1989,15:00,Union Solingen,0:1,SV Meppen
Sa. 15.04.1989,15:00,SpVgg Bayreuth,1:2,K. Offenbach
Sa. 15.04.1989,15:00,Hertha BSC,2:1,FC Schalke 04
Sa. 15.04.1989,15:00,Fortuna Köln,2:1,BW Berlin
Sa. 15.04.1989,15:00,Darmstadt 98,1:2,E. Braunschweig
So. 16.04.1989,15:00,Saarbrücken,2:2,F. Düsseldorf
So. 16.04.1989,15:00,1.FSV Mainz 05,2:1,SC Freiburg
So. 16.04.1989,15:00,Aschaffenburg,2:1,RW Essen
