Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 26.11.1988,15:00,1.FSV Mainz 05,1:2,Darmstadt 98
Sa. 26.11.1988,15:00,SpVgg Bayreuth,4:1,Aschaffenburg
Sa. 26.11.1988,15:00,FC 08 Homburg,1:0,Hertha BSC
Sa. 26.11.1988,15:00,SC Freiburg,3:0,Alem. Aachen
Sa. 26.11.1988,15:00,Fortuna Köln,2:0,Saarbrücken
Sa. 26.11.1988,15:00,SV Meppen,3:1,F. Düsseldorf
Sa. 26.11.1988,15:00,BW Berlin,1:1,FC Schalke 04
So. 27.11.1988,15:00,Wattenscheid 09,4:2,RW Essen
So. 27.11.1988,15:00,Union Solingen,3:2,VfL Osnabrück
Di. 29.11.1988,19:30,K. Offenbach,0:0,E. Braunschweig
