Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 02.06.1973,15:30,K. Offenbach,0:3,Bayern München
Sa. 02.06.1973,15:30,1.FC Köln,3:1,Bor. M'gladbach
Sa. 02.06.1973,15:30,F. Düsseldorf,2:1,Werder Bremen
Sa. 02.06.1973,15:30,Hamburger SV,2:2,Wuppertaler SV
Sa. 02.06.1973,15:30,VfB Stuttgart,2:2,E. Frankfurt
Sa. 02.06.1973,15:30,1.FC K'lautern,3:0,E. Braunschweig
Sa. 02.06.1973,15:30,MSV Duisburg,0:1,FC Schalke 04
Sa. 02.06.1973,15:30,VfL Bochum,2:2,RW Oberhausen
Sa. 02.06.1973,15:30,Hannover 96,2:0,Hertha BSC
