Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 23.04.1999,19:00,F. Düsseldorf,2:1,1.FC Köln
Fr. 23.04.1999,19:00,FC St. Pauli,2:1,1.FSV Mainz 05
Fr. 23.04.1999,19:00,Energie Cottbus,3:0,SSV Ulm 1846
So. 25.04.1999,15:00,Stuttg. Kickers,2:2,Karlsruher SC
So. 25.04.1999,15:00,TeBe Berlin,1:0,Wattenscheid 09
So. 25.04.1999,15:00,RW Oberhausen,1:1,Hannover 96
So. 25.04.1999,15:00,Fortuna Köln,0:2,Unterhaching
So. 25.04.1999,15:00,KFC Uerdingen,0:4,Arm. Bielefeld
Mo. 26.04.1999,20:15,FC Gütersloh,1:0,Greuther Fürth
