Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 09.04.1999,19:00,RW Oberhausen,0:4,1.FC Köln
Fr. 09.04.1999,19:00,KFC Uerdingen,0:0,Wattenscheid 09
Fr. 09.04.1999,19:00,Stuttg. Kickers,2:2,Greuther Fürth
So. 11.04.1999,15:00,FC Gütersloh,1:0,TeBe Berlin
So. 11.04.1999,15:00,1.FSV Mainz 05,1:1,SSV Ulm 1846
So. 11.04.1999,15:00,Energie Cottbus,4:2,Unterhaching
So. 11.04.1999,15:30,Fortuna Köln,1:1,Arm. Bielefeld
Mo. 12.04.1999,19:30,FC St. Pauli,0:2,Hannover 96
Mo. 12.04.1999,20:15,F. Düsseldorf,0:1,Karlsruher SC
