Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.11.1992,20:00,Bor. Dortmund,2:2,Werder Bremen
Fr. 13.11.1992,20:00,Dynamo Dresden,3:0,Karlsruher SC
Fr. 13.11.1992,20:00,1.FC K'lautern,3:0,FC Schalke 04
Sa. 14.11.1992,15:30,Wattenscheid 09,0:0,VfB Stuttgart
Sa. 14.11.1992,15:30,E. Frankfurt,4:1,VfL Bochum
Sa. 14.11.1992,15:30,Bor. M'gladbach,2:5,Saarbrücken
Sa. 14.11.1992,15:30,Bayern München,1:0,1.FC Nürnberg
Sa. 14.11.1992,15:30,1.FC Köln,1:0,B. Leverkusen
Sa. 14.11.1992,15:30,Hamburger SV,3:0,Bayer 05
