Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 05.06.1993,15:30,VfB Stuttgart,0:3,Werder Bremen
Sa. 05.06.1993,15:30,FC Schalke 04,3:3,Bayern München
Sa. 05.06.1993,15:30,Hamburger SV,1:2,E. Frankfurt
Sa. 05.06.1993,15:30,Karlsruher SC,3:0,Bor. Dortmund
Sa. 05.06.1993,15:30,B. Leverkusen,4:0,Bor. M'gladbach
Sa. 05.06.1993,15:30,1.FC K'lautern,2:0,Dynamo Dresden
Sa. 05.06.1993,15:30,Bayer 05,0:0,1.FC Köln
Sa. 05.06.1993,15:30,1.FC Nürnberg,4:1,Saarbrücken
Sa. 05.06.1993,15:30,VfL Bochum,3:1,Wattenscheid 09
