Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.12.1992,19:30,Wattenscheid 09,2:0,VfL Bochum
Fr. 11.12.1992,20:00,Saarbrücken,0:1,1.FC Nürnberg
Fr. 11.12.1992,20:00,Bor. M'gladbach,2:2,B. Leverkusen
Sa. 12.12.1992,15:30,E. Frankfurt,3:3,Hamburger SV
Sa. 12.12.1992,15:30,Bor. Dortmund,3:1,Karlsruher SC
Sa. 12.12.1992,15:30,Bayern München,1:1,FC Schalke 04
Sa. 12.12.1992,15:30,1.FC Köln,5:0,Bayer 05
Sa. 12.12.1992,15:30,Dynamo Dresden,1:3,1.FC K'lautern
Sa. 12.12.1992,15:30,Werder Bremen,1:1,VfB Stuttgart
