Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 15.10.1966,16:00,Hamburger SV,1:0,E. Braunschweig
Sa. 15.10.1966,16:00,Bayern München,3:0,1860 München
Sa. 15.10.1966,16:00,Bor. Dortmund,6:1,1.FC Köln
Sa. 15.10.1966,16:00,Bor. M'gladbach,0:0,E. Frankfurt
Sa. 15.10.1966,16:00,1.FC K'lautern,3:3,VfB Stuttgart
Sa. 15.10.1966,16:00,Hannover 96,2:0,1.FC Nürnberg
Sa. 15.10.1966,16:00,FC Schalke 04,2:1,Meidericher SV
Sa. 15.10.1966,16:00,Karlsruher SC,0:1,RW Essen
Sa. 15.10.1966,16:00,F. Düsseldorf,0:1,Werder Bremen
