Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 18.03.1967,16:00,E. Braunschweig,2:0,Hamburger SV
Sa. 18.03.1967,16:00,1860 München,1:0,Bayern München
Sa. 18.03.1967,16:00,1.FC Köln,1:1,Bor. Dortmund
Sa. 18.03.1967,16:00,E. Frankfurt,1:0,Bor. M'gladbach
Sa. 18.03.1967,16:00,VfB Stuttgart,0:1,1.FC K'lautern
Sa. 18.03.1967,16:00,1.FC Nürnberg,1:1,Hannover 96
Sa. 18.03.1967,16:00,Meidericher SV,3:0,FC Schalke 04
Sa. 18.03.1967,16:00,RW Essen,3:1,Karlsruher SC
Sa. 18.03.1967,16:00,Werder Bremen,1:0,F. Düsseldorf
