Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 08.10.1966,16:00,E. Braunschweig,2:0,1.FC K'lautern
Sa. 08.10.1966,16:00,1860 München,1:2,Bor. Dortmund
Sa. 08.10.1966,16:00,E. Frankfurt,1:0,Meidericher SV
Sa. 08.10.1966,16:00,Werder Bremen,4:1,Bayern München
Sa. 08.10.1966,16:00,1.FC Köln,0:0,Hamburger SV
Sa. 08.10.1966,16:00,Bor. M'gladbach,3:1,Karlsruher SC
Sa. 08.10.1966,16:00,RW Essen,3:0,Hannover 96
Sa. 08.10.1966,16:00,1.FC Nürnberg,4:2,F. Düsseldorf
Sa. 08.10.1966,16:00,VfB Stuttgart,1:1,FC Schalke 04
