Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 27.05.1967,16:00,RW Essen,0:0,E. Braunschweig
Sa. 27.05.1967,16:00,Werder Bremen,2:4,1860 München
Sa. 27.05.1967,16:00,E. Frankfurt,3:3,Bor. Dortmund
Sa. 27.05.1967,16:00,F. Düsseldorf,3:1,1.FC K'lautern
Sa. 27.05.1967,16:00,Bayern München,3:1,Hamburger SV
Sa. 27.05.1967,16:00,1.FC Nürnberg,1:1,1.FC Köln
Sa. 27.05.1967,16:00,Bor. M'gladbach,1:2,VfB Stuttgart
Sa. 27.05.1967,16:00,Hannover 96,1:2,FC Schalke 04
Sa. 27.05.1967,16:00,Karlsruher SC,3:0,Meidericher SV
