Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 26.11.1966,15:00,E. Braunschweig,4:1,Karlsruher SC
Sa. 26.11.1966,15:00,1860 München,1:0,RW Essen
Sa. 26.11.1966,15:00,1.FC K'lautern,1:1,Bor. Dortmund
Sa. 26.11.1966,15:00,E. Frankfurt,1:3,Hamburger SV
Sa. 26.11.1966,15:00,FC Schalke 04,2:1,Bayern München
Sa. 26.11.1966,15:00,1.FC Köln,1:2,Bor. M'gladbach
Sa. 26.11.1966,15:00,VfB Stuttgart,1:2,Hannover 96
Sa. 26.11.1966,15:00,Werder Bremen,4:4,1.FC Nürnberg
Sa. 26.11.1966,15:00,Meidericher SV,1:1,F. Düsseldorf
