Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 23.10.1982,15:00,VfL Osnabrück,2:2,Wattenscheid 09
Sa. 23.10.1982,15:00,MSV Duisburg,1:0,SpVgg Fürth
Sa. 23.10.1982,15:00,K. Offenbach,3:2,Fortuna Köln
Sa. 23.10.1982,15:00,W. Mannheim,3:1,Darmstadt 98
Sa. 23.10.1982,15:00,Lüttringhausen,1:1,Bayer 05
Sa. 23.10.1982,15:00,FSV Frankfurt,0:3,Stuttg. Kickers
Sa. 23.10.1982,15:00,RW Essen,3:0,SC Freiburg
Sa. 23.10.1982,15:00,FC Augsburg,2:1,Alem. Aachen
Sa. 23.10.1982,15:00,Schloß-Neuhaus,1:5,Hessen Kassel
Sa. 23.10.1982,15:00,Union Solingen,1:1,Hannover 96
