Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 28.05.1983,15:00,Hannover 96,0:3,Bayer 05
Sa. 28.05.1983,15:00,Darmstadt 98,4:0,Lüttringhausen
Sa. 28.05.1983,15:00,Wattenscheid 09,0:0,FC Augsburg
Sa. 28.05.1983,15:00,SpVgg Fürth,2:2,FSV Frankfurt
Sa. 28.05.1983,15:00,MSV Duisburg,2:2,Schloß-Neuhaus
Sa. 28.05.1983,15:00,W. Mannheim,0:3,SC Freiburg
Sa. 28.05.1983,15:00,Hessen Kassel,3:0,Alem. Aachen
Sa. 28.05.1983,15:00,Fortuna Köln,1:2,Stuttg. Kickers
Sa. 28.05.1983,15:00,VfL Osnabrück,5:3,Union Solingen
Sa. 28.05.1983,15:00,RW Essen,4:2,K. Offenbach
