Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 08.01.1983,15:00,Wattenscheid 09,0:0,Bayer 05
Sa. 08.01.1983,15:00,Darmstadt 98,2:1,Alem. Aachen
Sa. 08.01.1983,15:00,VfL Osnabrück,1:1,K. Offenbach
Sa. 08.01.1983,15:00,Hessen Kassel,2:2,Fortuna Köln
Sa. 08.01.1983,15:00,Hannover 96,1:1,Stuttg. Kickers
Sa. 08.01.1983,15:00,SpVgg Fürth,4:2,Lüttringhausen
Sa. 08.01.1983,15:00,RW Essen,3:0,FC Augsburg
Sa. 08.01.1983,15:00,MSV Duisburg,4:1,FSV Frankfurt
Sa. 08.01.1983,15:00,W. Mannheim,3:0,Schloß-Neuhaus
Sa. 08.01.1983,15:00,Union Solingen,0:1,SC Freiburg
