Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 22.01.1983,15:00,Darmstadt 98,1:1,Fortuna Köln
Sa. 22.01.1983,15:00,RW Essen,3:1,Bayer 05
Sa. 22.01.1983,15:00,Union Solingen,1:0,K. Offenbach
Sa. 22.01.1983,15:00,Hannover 96,1:2,Hessen Kassel
Sa. 22.01.1983,15:00,Wattenscheid 09,1:1,Stuttg. Kickers
Sa. 22.01.1983,15:00,SpVgg Fürth,2:2,Alem. Aachen
Sa. 22.01.1983,15:00,MSV Duisburg,3:0,Lüttringhausen
Sa. 22.01.1983,15:00,VfL Osnabrück,2:0,FC Augsburg
Sa. 22.01.1983,15:00,W. Mannheim,3:0,FSV Frankfurt
Sa. 22.01.1983,15:00,Schloß-Neuhaus,1:1,SC Freiburg
