Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 09.10.1982,15:00,Darmstadt 98,2:1,VfL Osnabrück
Sa. 09.10.1982,15:00,Hannover 96,2:2,W. Mannheim
Sa. 09.10.1982,15:00,Alem. Aachen,5:1,FSV Frankfurt
Sa. 09.10.1982,15:00,SpVgg Fürth,0:0,RW Essen
Sa. 09.10.1982,15:00,Stuttg. Kickers,1:1,K. Offenbach
Sa. 09.10.1982,15:00,Bayer 05,2:0,FC Augsburg
Sa. 09.10.1982,15:00,SC Freiburg,3:0,Lüttringhausen
Sa. 09.10.1982,15:00,Wattenscheid 09,1:3,MSV Duisburg
Sa. 09.10.1982,15:00,Hessen Kassel,2:0,Union Solingen
Sa. 09.10.1982,15:00,Fortuna Köln,4:2,Schloß-Neuhaus
