Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 16.04.1983,15:00,Schloß-Neuhaus,1:1,Hannover 96
Sa. 16.04.1983,15:00,Union Solingen,3:2,Darmstadt 98
Sa. 16.04.1983,15:00,Lüttringhausen,3:0,Alem. Aachen
Sa. 16.04.1983,15:00,VfL Osnabrück,2:1,SpVgg Fürth
Sa. 16.04.1983,15:00,K. Offenbach,2:0,Hessen Kassel
Sa. 16.04.1983,15:00,FC Augsburg,0:2,Stuttg. Kickers
Sa. 16.04.1983,15:00,FSV Frankfurt,2:0,Fortuna Köln
Sa. 16.04.1983,15:00,MSV Duisburg,0:2,RW Essen
Sa. 16.04.1983,15:00,W. Mannheim,4:0,Wattenscheid 09
Sa. 16.04.1983,15:00,Bayer 05,3:0,SC Freiburg
