Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 11.12.1982,15:00,Wattenscheid 09,4:2,Lüttringhausen
Sa. 11.12.1982,15:00,W. Mannheim,2:2,Union Solingen
Sa. 11.12.1982,15:00,SpVgg Fürth,3:1,FC Augsburg
Sa. 11.12.1982,15:00,Hessen Kassel,3:1,Stuttg. Kickers
Sa. 11.12.1982,15:00,RW Essen,2:4,FSV Frankfurt
Sa. 11.12.1982,15:00,Hannover 96,3:3,Alem. Aachen
Sa. 11.12.1982,15:00,Fortuna Köln,3:0,SC Freiburg
Sa. 11.12.1982,15:00,VfL Osnabrück,3:1,Schloß-Neuhaus
Sa. 11.12.1982,15:00,MSV Duisburg,0:1,K. Offenbach
Sa. 11.12.1982,15:00,Darmstadt 98,2:0,Bayer 05
