Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 12.03.1983,15:00,SpVgg Fürth,2:3,Wattenscheid 09
Sa. 12.03.1983,15:00,RW Essen,2:2,Darmstadt 98
Sa. 12.03.1983,15:00,MSV Duisburg,3:1,Hannover 96
Sa. 12.03.1983,15:00,VfL Osnabrück,2:0,Hessen Kassel
Sa. 12.03.1983,15:00,W. Mannheim,2:1,Fortuna Köln
Sa. 12.03.1983,15:00,Union Solingen,2:2,Stuttg. Kickers
Sa. 12.03.1983,15:00,FSV Frankfurt,2:1,Lüttringhausen
Sa. 12.03.1983,15:00,FC Augsburg,1:1,SC Freiburg
Sa. 12.03.1983,15:00,Schloß-Neuhaus,3:1,Alem. Aachen
Sa. 12.03.1983,15:00,K. Offenbach,4:0,Bayer 05
