Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 14.08.1982,15:00,SpVgg Fürth,1:1,Bayer 05
Sa. 14.08.1982,15:00,VfL Osnabrück,3:1,FSV Frankfurt
Sa. 14.08.1982,15:00,MSV Duisburg,0:1,FC Augsburg
Sa. 14.08.1982,15:00,W. Mannheim,0:1,K. Offenbach
Sa. 14.08.1982,15:00,RW Essen,2:1,Lüttringhausen
Sa. 14.08.1982,15:00,Wattenscheid 09,1:2,Alem. Aachen
Sa. 14.08.1982,15:00,Darmstadt 98,1:2,Stuttg. Kickers
Sa. 14.08.1982,15:00,Hannover 96,4:2,Fortuna Köln
Sa. 14.08.1982,15:00,Hessen Kassel,0:0,SC Freiburg
Sa. 14.08.1982,15:00,Union Solingen,1:1,Schloß-Neuhaus
