Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 15.10.1982,19:00,Hannover 96,6:1,Schloß-Neuhaus
Sa. 30.10.1982,15:00,Darmstadt 98,4:1,Union Solingen
Sa. 30.10.1982,15:00,Alem. Aachen,3:0,Lüttringhausen
Sa. 30.10.1982,15:00,SpVgg Fürth,2:1,VfL Osnabrück
Sa. 30.10.1982,15:00,Hessen Kassel,3:2,K. Offenbach
Sa. 30.10.1982,15:00,Stuttg. Kickers,2:0,FC Augsburg
Sa. 30.10.1982,15:00,Fortuna Köln,6:1,FSV Frankfurt
Sa. 30.10.1982,15:00,RW Essen,2:2,MSV Duisburg
Sa. 30.10.1982,15:00,Wattenscheid 09,1:1,W. Mannheim
Sa. 30.10.1982,15:00,SC Freiburg,1:0,Bayer 05
